total,untranslated,needReview,translated,approved,rejected,translatedOnly,fuzzy,unit,locale,lastTranslated,project,version/iteration
196,0,0,196,0,0,196,0,WORD,br,06/04/18 06:51 by framasky,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,bs,,framalink,master
196,196,0,0,0,0,0,0,WORD,bs,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,oc,,framalink,master
196,196,0,0,0,0,0,0,WORD,oc,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,uk,,framalink,master
196,196,0,0,0,0,0,0,WORD,uk,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,sk,,framalink,master
196,196,0,0,0,0,0,0,WORD,sk,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,gd,,framalink,master
196,196,0,0,0,0,0,0,WORD,gd,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,ca,,framalink,master
196,196,0,0,0,0,0,0,WORD,ca,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,sq,,framalink,master
196,196,0,0,0,0,0,0,WORD,sq,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,sr,,framalink,master
196,196,0,0,0,0,0,0,WORD,sr,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,sv,,framalink,master
196,196,0,0,0,0,0,0,WORD,sv,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,el,,framalink,master
196,196,0,0,0,0,0,0,WORD,el,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,mt,,framalink,master
196,196,0,0,0,0,0,0,WORD,mt,,framalink,master
23,0,0,23,23,0,0,0,MESSAGE,en,,framalink,master
196,0,0,196,196,0,0,0,WORD,en,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,is,,framalink,master
196,196,0,0,0,0,0,0,WORD,is,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,eo,,framalink,master
196,196,0,0,0,0,0,0,WORD,eo,,framalink,master
23,0,0,23,0,0,23,0,MESSAGE,it,21/05/18 21:17 by maupao,framalink,master
196,0,0,196,0,0,196,0,WORD,it,21/05/18 21:17 by maupao,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,es,,framalink,master
196,196,0,0,0,0,0,0,WORD,es,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,cs,,framalink,master
196,196,0,0,0,0,0,0,WORD,cs,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,ar,,framalink,master
196,196,0,0,0,0,0,0,WORD,ar,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,nb,,framalink,master
196,196,0,0,0,0,0,0,WORD,nb,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,lb,,framalink,master
196,196,0,0,0,0,0,0,WORD,lb,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,ja,,framalink,master
196,196,0,0,0,0,0,0,WORD,ja,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,rm,,framalink,master
196,196,0,0,0,0,0,0,WORD,rm,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,pl,,framalink,master
196,196,0,0,0,0,0,0,WORD,pl,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,ro,,framalink,master
196,196,0,0,0,0,0,0,WORD,ro,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,da,,framalink,master
196,196,0,0,0,0,0,0,WORD,da,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,nl,,framalink,master
196,196,0,0,0,0,0,0,WORD,nl,,framalink,master
23,0,0,23,23,0,0,0,MESSAGE,fr-FR,,framalink,master
196,0,0,196,196,0,0,0,WORD,fr-FR,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,tr,,framalink,master
196,196,0,0,0,0,0,0,WORD,tr,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,nn,,framalink,master
196,196,0,0,0,0,0,0,WORD,nn,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,en-US,,framalink,master
196,196,0,0,0,0,0,0,WORD,en-US,,framalink,master
23,0,0,23,0,0,23,0,MESSAGE,de,18/04/18 08:06 by moosline,framalink,master
196,0,0,196,0,0,196,0,WORD,de,18/04/18 08:06 by moosline,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,ru,,framalink,master
196,196,0,0,0,0,0,0,WORD,ru,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,be,,framalink,master
196,196,0,0,0,0,0,0,WORD,be,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,fi,,framalink,master
196,196,0,0,0,0,0,0,WORD,fi,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,pt,,framalink,master
196,196,0,0,0,0,0,0,WORD,pt,,framalink,master
25,1,0,24,0,0,24,0,MESSAGE,en,04/07/18 12:25 by schoumi,exodus,1.0.4
109,0,0,109,0,0,109,0,WORD,en,04/07/18 12:25 by schoumi,exodus,1.0.4
25,0,0,25,0,0,25,0,MESSAGE,fr,31/08/18 17:18 by matograine,exodus,1.0.4
109,0,0,109,0,0,109,0,WORD,fr,31/08/18 17:18 by matograine,exodus,1.0.4
25,0,0,25,0,0,25,0,MESSAGE,es,30/08/18 22:04 by edu,exodus,1.0.4
109,0,0,109,0,0,109,0,WORD,es,30/08/18 22:04 by edu,exodus,1.0.4
25,25,0,0,0,0,0,0,MESSAGE,ar,,exodus,1.0.4
109,109,0,0,0,0,0,0,WORD,ar,,exodus,1.0.4
25,0,1,24,0,0,24,1,MESSAGE,de,31/08/18 17:19 by matograine,exodus,1.0.4
109,0,2,107,0,0,107,2,WORD,de,31/08/18 17:19 by matograine,exodus,1.0.4
25,25,0,0,0,0,0,0,MESSAGE,ru,,exodus,1.0.4
109,109,0,0,0,0,0,0,WORD,ru,,exodus,1.0.4
25,25,0,0,0,0,0,0,MESSAGE,pt,,exodus,1.0.4
109,109,0,0,0,0,0,0,WORD,pt,,exodus,1.0.4
53,1,0,52,0,0,52,0,MESSAGE,ja,04/07/18 11:50 by schoumi,goblim,2.8
133,3,0,130,0,0,130,0,WORD,ja,04/07/18 11:50 by schoumi,goblim,2.8
53,0,0,53,0,0,53,0,MESSAGE,en,04/07/18 11:13 by schoumi,goblim,2.8
133,0,0,133,0,0,133,0,WORD,en,04/07/18 11:13 by schoumi,goblim,2.8
53,0,0,53,0,0,53,0,MESSAGE,fr,04/07/18 11:29 by schoumi,goblim,2.8
133,0,0,133,0,0,133,0,WORD,fr,04/07/18 11:29 by schoumi,goblim,2.8
53,46,0,7,0,0,7,0,MESSAGE,es,04/07/18 12:17 by schoumi,goblim,2.8
133,131,0,2,0,0,2,0,WORD,es,04/07/18 12:17 by schoumi,goblim,2.8
53,9,0,44,0,0,44,0,MESSAGE,sr,04/07/18 11:37 by schoumi,goblim,2.8
133,29,0,104,0,0,104,0,WORD,sr,04/07/18 11:37 by schoumi,goblim,2.8
53,46,0,7,0,0,7,0,MESSAGE,ar,04/07/18 12:22 by schoumi,goblim,2.8
133,131,0,2,0,0,2,0,WORD,ar,04/07/18 12:22 by schoumi,goblim,2.8
53,47,0,6,0,0,6,0,MESSAGE,de,04/07/18 11:51 by schoumi,goblim,2.8
133,131,0,2,0,0,2,0,WORD,de,04/07/18 11:51 by schoumi,goblim,2.8
53,47,0,6,0,0,6,0,MESSAGE,ru,04/07/18 11:53 by schoumi,goblim,2.8
133,131,0,2,0,0,2,0,WORD,ru,04/07/18 11:53 by schoumi,goblim,2.8
53,46,0,7,0,0,7,0,MESSAGE,pt,04/07/18 12:16 by schoumi,goblim,2.8
133,131,0,2,0,0,2,0,WORD,pt,04/07/18 12:16 by schoumi,goblim,2.8
21,21,0,0,0,0,0,0,MESSAGE,bg,,framaclic,master
268,268,0,0,0,0,0,0,WORD,bg,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,lt,,framaclic,master
268,268,0,0,0,0,0,0,WORD,lt,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,hr,,framaclic,master
268,268,0,0,0,0,0,0,WORD,hr,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,lv,,framaclic,master
268,268,0,0,0,0,0,0,WORD,lv,,framaclic,master
21,0,0,21,21,0,0,0,MESSAGE,fr,,framaclic,master
268,0,0,268,268,0,0,0,WORD,fr,,framaclic,master
21,0,0,21,21,0,0,0,MESSAGE,hu,,framaclic,master
268,0,0,268,268,0,0,0,WORD,hu,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,br,,framaclic,master
268,268,0,0,0,0,0,0,WORD,br,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,bs,,framaclic,master
268,268,0,0,0,0,0,0,WORD,bs,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,oc,,framaclic,master
268,268,0,0,0,0,0,0,WORD,oc,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,uk,,framaclic,master
268,268,0,0,0,0,0,0,WORD,uk,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,sk,,framaclic,master
268,268,0,0,0,0,0,0,WORD,sk,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,gd,,framaclic,master
268,268,0,0,0,0,0,0,WORD,gd,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,ca,,framaclic,master
268,268,0,0,0,0,0,0,WORD,ca,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,sq,,framaclic,master
268,268,0,0,0,0,0,0,WORD,sq,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,sr,,framaclic,master
268,268,0,0,0,0,0,0,WORD,sr,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,sv,,framaclic,master
268,268,0,0,0,0,0,0,WORD,sv,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,el,,framaclic,master
268,268,0,0,0,0,0,0,WORD,el,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,mt,,framaclic,master
268,268,0,0,0,0,0,0,WORD,mt,,framaclic,master
21,0,0,21,21,0,0,0,MESSAGE,en,,framaclic,master
268,0,0,268,268,0,0,0,WORD,en,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,is,,framaclic,master
268,268,0,0,0,0,0,0,WORD,is,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,eo,,framaclic,master
268,268,0,0,0,0,0,0,WORD,eo,,framaclic,master
21,0,0,21,0,0,21,0,MESSAGE,it,05/11/18 22:08 by maupao,framaclic,master
268,0,0,268,0,0,268,0,WORD,it,05/11/18 22:08 by maupao,framaclic,master
21,0,0,21,0,0,21,0,MESSAGE,es,31/05/19 17:44 by pmedra,framaclic,master
268,0,0,268,0,0,268,0,WORD,es,31/05/19 17:44 by pmedra,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,cs,,framaclic,master
268,268,0,0,0,0,0,0,WORD,cs,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,ar,,framaclic,master
268,268,0,0,0,0,0,0,WORD,ar,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,nb,,framaclic,master
268,268,0,0,0,0,0,0,WORD,nb,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,lb,,framaclic,master
268,268,0,0,0,0,0,0,WORD,lb,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,rm,,framaclic,master
268,268,0,0,0,0,0,0,WORD,rm,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,pl,,framaclic,master
268,268,0,0,0,0,0,0,WORD,pl,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,ro,,framaclic,master
268,268,0,0,0,0,0,0,WORD,ro,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,da,,framaclic,master
268,268,0,0,0,0,0,0,WORD,da,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,nl,,framaclic,master
268,268,0,0,0,0,0,0,WORD,nl,,framaclic,master
21,0,0,21,21,0,0,0,MESSAGE,fr-FR,,framaclic,master
268,0,0,268,268,0,0,0,WORD,fr-FR,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,tr,,framaclic,master
268,268,0,0,0,0,0,0,WORD,tr,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,nn,,framaclic,master
268,268,0,0,0,0,0,0,WORD,nn,,framaclic,master
21,0,0,21,21,0,0,0,MESSAGE,en-US,,framaclic,master
268,0,0,268,268,0,0,0,WORD,en-US,,framaclic,master
21,16,1,4,0,0,4,1,MESSAGE,de,28/02/19 13:03 by nicoc,framaclic,master
268,252,3,13,0,0,13,3,WORD,de,28/02/19 13:03 by nicoc,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,ru,,framaclic,master
268,268,0,0,0,0,0,0,WORD,ru,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,be,,framaclic,master
268,268,0,0,0,0,0,0,WORD,be,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,fi,,framaclic,master
268,268,0,0,0,0,0,0,WORD,fi,,framaclic,master
21,21,0,0,0,0,0,0,MESSAGE,pt,,framaclic,master
268,268,0,0,0,0,0,0,WORD,pt,,framaclic,master
248,248,0,0,0,0,0,0,MESSAGE,bg,,join-peertube,master
5431,5431,0,0,0,0,0,0,WORD,bg,,join-peertube,master
248,248,0,0,0,0,0,0,MESSAGE,lt,,join-peertube,master
5431,5431,0,0,0,0,0,0,WORD,lt,,join-peertube,master
248,248,0,0,0,0,0,0,MESSAGE,hr,,join-peertube,master
5431,5431,0,0,0,0,0,0,WORD,hr,,join-peertube,master
248,248,0,0,0,0,0,0,MESSAGE,lv,,join-peertube,master
5431,5431,0,0,0,0,0,0,WORD,lv,,join-peertube,master
248,248,0,0,0,0,0,0,MESSAGE,fi-FI,,join-peertube,master
5431,5431,0,0,0,0,0,0,WORD,fi-FI,,join-peertube,master
248,0,0,248,0,0,248,0,MESSAGE,fr,11/07/19 08:05 by chocobozzz,join-peertube,master
5431,0,0,5431,0,0,5431,0,WORD,fr,11/07/19 08:05 by chocobozzz,join-peertube,master
248,248,0,0,0,0,0,0,MESSAGE,hu,,join-peertube,master
5431,5431,0,0,0,0,0,0,WORD,hu,,join-peertube,master
248,248,0,0,0,0,0,0,MESSAGE,br,,join-peertube,master
5431,5431,0,0,0,0,0,0,WORD,br,,join-peertube,master
248,248,0,0,0,0,0,0,MESSAGE,bs,,join-peertube,master
5431,5431,0,0,0,0,0,0,WORD,bs,,join-peertube,master
248,248,0,0,0,0,0,0,MESSAGE,oc,,join-peertube,master
5431,5431,0,0,0,0,0,0,WORD,oc,,join-peertube,master
248,248,0,0,0,0,0,0,MESSAGE,uk,,join-peertube,master
5431,5431,0,0,0,0,0,0,WORD,uk,,join-peertube,master
248,248,0,0,0,0,0,0,MESSAGE,sk,,join-peertube,master
5431,5431,0,0,0,0,0,0,WORD,sk,,join-peertube,master
248,248,0,0,0,0,0,0,MESSAGE,gd,,join-peertube,master
5431,5431,0,0,0,0,0,0,WORD,gd,,join-peertube,master
248,248,0,0,0,0,0,0,MESSAGE,ca,,join-peertube,master
5431,5431,0,0,0,0,0,0,WORD,ca,,join-peertube,master
248,0,0,248,0,0,248,0,MESSAGE,sq,11/07/19 08:05 by chocobozzz,join-peertube,master
5431,0,0,5431,0,0,5431,0,WORD,sq,11/07/19 08:05 by chocobozzz,join-peertube,master
248,248,0,0,0,0,0,0,MESSAGE,sr,,join-peertube,master
5431,5431,0,0,0,0,0,0,WORD,sr,,join-peertube,master
248,2,0,246,0,0,246,0,MESSAGE,sv,18/07/19 16:20 by autom,join-peertube,master
5431,125,0,5306,0,0,5306,0,WORD,sv,18/07/19 16:20 by autom,join-peertube,master
248,0,0,248,0,0,248,0,MESSAGE,zh-Hant-TW,11/07/19 08:06 by chocobozzz,join-peertube,master
5431,0,0,5431,0,0,5431,0,WORD,zh-Hant-TW,11/07/19 08:06 by chocobozzz,join-peertube,master
248,248,0,0,0,0,0,0,MESSAGE,el,,join-peertube,master
5431,5431,0,0,0,0,0,0,WORD,el,,join-peertube,master
248,248,0,0,0,0,0,0,MESSAGE,mt,,join-peertube,master
5431,5431,0,0,0,0,0,0,WORD,mt,,join-peertube,master
248,0,0,248,0,0,248,0,MESSAGE,en,11/07/19 08:06 by chocobozzz,join-peertube,master
5431,0,0,5431,0,0,5431,0,WORD,en,11/07/19 08:06 by chocobozzz,join-peertube,master
248,248,0,0,0,0,0,0,MESSAGE,is,,join-peertube,master
5431,5431,0,0,0,0,0,0,WORD,is,,join-peertube,master
248,0,0,248,0,0,248,0,MESSAGE,it,11/07/19 08:06 by chocobozzz,join-peertube,master
5431,0,0,5431,0,0,5431,0,WORD,it,11/07/19 08:06 by chocobozzz,join-peertube,master
248,0,0,248,0,0,248,0,MESSAGE,es,11/07/19 08:06 by chocobozzz,join-peertube,master
5431,0,0,5431,0,0,5431,0,WORD,es,11/07/19 08:06 by chocobozzz,join-peertube,master
248,248,0,0,0,0,0,0,MESSAGE,zh,,join-peertube,master
5431,5431,0,0,0,0,0,0,WORD,zh,,join-peertube,master
248,221,0,27,0,0,27,0,MESSAGE,cs,22/06/19 16:29 by clon,join-peertube,master
5431,5354,0,77,0,0,77,0,WORD,cs,22/06/19 16:29 by clon,join-peertube,master
248,248,0,0,0,0,0,0,MESSAGE,pt-BR,,join-peertube,master
5431,5431,0,0,0,0,0,0,WORD,pt-BR,,join-peertube,master
248,206,0,42,0,0,42,0,MESSAGE,ar,27/05/19 20:26 by butterflyoffire,join-peertube,master
5431,5285,0,146,0,0,146,0,WORD,ar,27/05/19 20:26 by butterflyoffire,join-peertube,master
248,191,0,57,0,0,57,0,MESSAGE,nb,18/07/19 18:24 by brookliner,join-peertube,master
5431,5212,0,219,0,0,219,0,WORD,nb,18/07/19 18:24 by brookliner,join-peertube,master
248,248,0,0,0,0,0,0,MESSAGE,lb,,join-peertube,master
5431,5431,0,0,0,0,0,0,WORD,lb,,join-peertube,master
248,0,0,248,0,0,248,0,MESSAGE,ja,11/07/19 08:06 by chocobozzz,join-peertube,master
5431,0,0,5431,0,0,5431,0,WORD,ja,11/07/19 08:06 by chocobozzz,join-peertube,master
248,248,0,0,0,0,0,0,MESSAGE,rm,,join-peertube,master
5431,5431,0,0,0,0,0,0,WORD,rm,,join-peertube,master
248,189,0,59,0,0,59,0,MESSAGE,pl,12/10/18 21:56 by krkk,join-peertube,master
5431,4790,0,641,0,0,641,0,WORD,pl,12/10/18 21:56 by krkk,join-peertube,master
248,248,0,0,0,0,0,0,MESSAGE,ro,,join-peertube,master
5431,5431,0,0,0,0,0,0,WORD,ro,,join-peertube,master
248,214,5,29,0,0,29,5,MESSAGE,da,26/01/19 13:16 by 22decembre,join-peertube,master
5431,4987,109,335,0,0,335,109,WORD,da,26/01/19 13:16 by 22decembre,join-peertube,master
248,170,0,78,0,0,78,0,MESSAGE,nl,15/04/19 15:00 by frankstrater,join-peertube,master
5431,4771,0,660,0,0,660,0,WORD,nl,15/04/19 15:00 by frankstrater,join-peertube,master
248,229,0,19,0,0,19,0,MESSAGE,fr-FR,17/10/18 18:42 by unzarida,join-peertube,master
5431,5296,0,135,0,0,135,0,WORD,fr-FR,17/10/18 18:42 by unzarida,join-peertube,master
248,132,0,116,0,0,116,0,MESSAGE,tr,25/12/18 02:01 by oktay454,join-peertube,master
5431,2851,0,2580,0,0,2580,0,WORD,tr,25/12/18 02:01 by oktay454,join-peertube,master
248,248,0,0,0,0,0,0,MESSAGE,nn,,join-peertube,master
5431,5431,0,0,0,0,0,0,WORD,nn,,join-peertube,master
248,248,0,0,0,0,0,0,MESSAGE,en-GB,,join-peertube,master
5431,5431,0,0,0,0,0,0,WORD,en-GB,,join-peertube,master
248,248,0,0,0,0,0,0,MESSAGE,en-US,,join-peertube,master
5431,5431,0,0,0,0,0,0,WORD,en-US,,join-peertube,master
248,0,0,248,0,0,248,0,MESSAGE,de,11/07/19 08:06 by chocobozzz,join-peertube,master
5431,0,0,5431,0,0,5431,0,WORD,de,11/07/19 08:06 by chocobozzz,join-peertube,master
248,0,0,248,0,0,248,0,MESSAGE,ru,11/07/19 08:06 by chocobozzz,join-peertube,master
5431,0,0,5431,0,0,5431,0,WORD,ru,11/07/19 08:06 by chocobozzz,join-peertube,master
248,248,0,0,0,0,0,0,MESSAGE,be,,join-peertube,master
5431,5431,0,0,0,0,0,0,WORD,be,,join-peertube,master
248,241,0,7,0,0,7,0,MESSAGE,fi,17/10/18 19:08 by sheija,join-peertube,master
5431,5408,0,23,0,0,23,0,WORD,fi,17/10/18 19:08 by sheija,join-peertube,master
248,248,0,0,0,0,0,0,MESSAGE,pt,,join-peertube,master
5431,5431,0,0,0,0,0,0,WORD,pt,,join-peertube,master
248,248,0,0,0,0,0,0,MESSAGE,da-DK,,join-peertube,master
5431,5431,0,0,0,0,0,0,WORD,da-DK,,join-peertube,master
21,21,0,0,0,0,0,0,MESSAGE,bg,,framadrop,master
202,202,0,0,0,0,0,0,WORD,bg,,framadrop,master
21,21,0,0,0,0,0,0,MESSAGE,lt,,framadrop,master
202,202,0,0,0,0,0,0,WORD,lt,,framadrop,master
21,21,0,0,0,0,0,0,MESSAGE,hr,,framadrop,master
202,202,0,0,0,0,0,0,WORD,hr,,framadrop,master
21,21,0,0,0,0,0,0,MESSAGE,lv,,framadrop,master
202,202,0,0,0,0,0,0,WORD,lv,,framadrop,master
21,0,0,21,20,0,1,0,MESSAGE,fr,18/09/18 09:45 by framasky,framadrop,master
202,0,0,202,199,0,3,0,WORD,fr,18/09/18 09:45 by framasky,framadrop,master
21,11,0,10,0,0,10,0,MESSAGE,hu,18/09/18 09:48 by framasky,framadrop,master
202,137,0,65,0,0,65,0,WORD,hu,18/09/18 09:48 by framasky,framadrop,master
21,21,0,0,0,0,0,0,MESSAGE,br,,framadrop,master
202,202,0,0,0,0,0,0,WORD,br,,framadrop,master
21,21,0,0,0,0,0,0,MESSAGE,bs,,framadrop,master
202,202,0,0,0,0,0,0,WORD,bs,,framadrop,master
21,1,0,20,0,0,20,0,MESSAGE,oc,18/09/18 09:49 by framasky,framadrop,master
202,20,0,182,0,0,182,0,WORD,oc,18/09/18 09:49 by framasky,framadrop,master
21,21,0,0,0,0,0,0,MESSAGE,uk,,framadrop,master
202,202,0,0,0,0,0,0,WORD,uk,,framadrop,master
21,21,0,0,0,0,0,0,MESSAGE,sk,,framadrop,master
202,202,0,0,0,0,0,0,WORD,sk,,framadrop,master
21,21,0,0,0,0,0,0,MESSAGE,gd,,framadrop,master
202,202,0,0,0,0,0,0,WORD,gd,,framadrop,master
21,1,0,20,0,0,20,0,MESSAGE,ca,18/09/18 09:47 by framasky,framadrop,master
202,20,0,182,0,0,182,0,WORD,ca,18/09/18 09:47 by framasky,framadrop,master
21,21,0,0,0,0,0,0,MESSAGE,sq,,framadrop,master
202,202,0,0,0,0,0,0,WORD,sq,,framadrop,master
21,21,0,0,0,0,0,0,MESSAGE,sr,,framadrop,master
